Logging for microserv1       start 
03/16/2024, 16:15:52 INFO:   Device working in turbo mode
03/16/2024, 16:15:53 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:54 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:54 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:55 ERROR:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:55 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:15:56 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:57 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:57 WARNING:   Device working in turbo mode
03/16/2024, 16:15:58 WARNING:   Got signal to peek load
03/16/2024, 16:15:58 WARNING:   user xxx logged in
03/16/2024, 16:15:58 WARNING:   Got signal to peek load
03/16/2024, 16:15:59 WARNING:   Got signal to peek load
03/16/2024, 16:16:00 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:01 DEBUG:   Function called twice with mno bit
03/16/2024, 16:16:01 DEBUG:   user xxx logged in
03/16/2024, 16:16:03 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:16:03 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:03 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:04 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:16:04 FATAL:   kernel fault detected in core
03/16/2024, 16:16:05 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:16:07 WARNING:   user xxx logged in
03/16/2024, 16:16:07 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:08 WARNING:   Device working in turbo mode
03/16/2024, 16:16:09 WARNING:   user xxx logged in
03/16/2024, 16:16:09 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:10 WARNING:   user xxx logged in
03/16/2024, 16:16:10 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:10 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:11 INFO:   Device working in turbo mode
03/16/2024, 16:16:12 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:12 WARNING:   user xxx logged in
03/16/2024, 16:16:12 WARNING:   Device working in turbo mode
03/16/2024, 16:16:13 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:13 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:14 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:15 INFO:   Function called twice with mno bit
03/16/2024, 16:16:16 INFO:   Got signal to peek load
03/16/2024, 16:16:17 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:18 WARNING:   Got signal to peek load
03/16/2024, 16:16:18 WARNING:   user xxx logged in
03/16/2024, 16:16:19 WARNING:   Device working in turbo mode
03/16/2024, 16:16:19 WARNING:   Device working in turbo mode
03/16/2024, 16:16:19 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:20 WARNING:   user xxx logged in
03/16/2024, 16:16:20 WARNING:   Got signal to peek load
03/16/2024, 16:16:22 ERROR:   kernel fault detected in core
03/16/2024, 16:16:23 ERROR:   kernel fault detected in core
03/16/2024, 16:16:23 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:16:24 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:16:24 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:16:25 ERROR:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:27 INFO:   Function called twice with mno bit
03/16/2024, 16:16:27 INFO:   user xxx logged in
03/16/2024, 16:16:27 INFO:   Device working in turbo mode
03/16/2024, 16:16:27 INFO:   Function called twice with mno bit
03/16/2024, 16:16:27 INFO:   user xxx logged in
03/16/2024, 16:16:28 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:16:29 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:30 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:30 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:31 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:16:31 FATAL:   kernel fault detected in core
03/16/2024, 16:16:32 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:16:32 FATAL:   kernel fault detected in core
03/16/2024, 16:16:32 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:16:32 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:16:33 ERROR:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:34 ERROR:   kernel fault detected in core
03/16/2024, 16:16:35 ERROR:   kernel fault detected in core
03/16/2024, 16:16:36 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:16:36 ERROR:   wrong memory location access corruption, reboot issued
03/16/2024, 16:16:36 INFO:   Got signal to peek load
03/16/2024, 16:16:37 INFO:   user xxx logged in
03/16/2024, 16:16:38 INFO:   Got signal to peek load
03/16/2024, 16:16:39 INFO:   user xxx logged in
03/16/2024, 16:16:39 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:41 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:16:41 ERROR:   kernel fault detected in core
03/16/2024, 16:16:41 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:16:42 ERROR:   kernel fault detected in core
03/16/2024, 16:16:43 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:16:43 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:44 INFO:   Function called twice with mno bit
03/16/2024, 16:16:45 WARNING:   Device working in turbo mode
03/16/2024, 16:16:46 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:46 WARNING:   Device working in turbo mode
03/16/2024, 16:16:46 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:47 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:48 WARNING:   Got signal to peek load
03/16/2024, 16:16:48 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:49 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:50 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:50 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:51 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:51 WARNING:   user xxx logged in
03/16/2024, 16:16:51 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:52 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:52 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:53 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:53 WARNING:   user xxx logged in
03/16/2024, 16:16:53 WARNING:   Function called twice with mno bit
03/16/2024, 16:16:54 WARNING:   Got signal to peek load
03/16/2024, 16:16:54 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:54 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:55 WARNING:   Device working in turbo mode
03/16/2024, 16:16:56 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:57 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:57 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:16:58 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:58 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:16:59 WARNING:   Device working in turbo mode
03/16/2024, 16:17:00 WARNING:   user xxx logged in
03/16/2024, 16:17:01 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:17:02 WARNING:   Function called twice with mno bit
03/16/2024, 16:17:02 DEBUG:   user xxx logged in
03/16/2024, 16:17:03 DEBUG:   Device working in turbo mode
03/16/2024, 16:17:03 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:04 WARNING:   Device working in turbo mode
03/16/2024, 16:17:04 WARNING:   user xxx logged in
03/16/2024, 16:17:05 WARNING:   Got signal to peek load
03/16/2024, 16:17:05 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:06 WARNING:   Function called twice with mno bit
03/16/2024, 16:17:06 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:07 WARNING:   user xxx logged in
03/16/2024, 16:17:08 WARNING:   Device working in turbo mode
03/16/2024, 16:17:08 WARNING:   Device working in turbo mode
03/16/2024, 16:17:09 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:10 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:10 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:11 DEBUG:   user xxx logged in
03/16/2024, 16:17:12 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:12 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:13 DEBUG:   Got signal to peek load
03/16/2024, 16:17:14 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:17:15 WARNING:   Got signal to peek load
03/16/2024, 16:17:15 WARNING:   Device working in turbo mode
03/16/2024, 16:17:16 WARNING:   Device working in turbo mode
03/16/2024, 16:17:16 WARNING:   Got signal to peek load
03/16/2024, 16:17:16 WARNING:   user xxx logged in
03/16/2024, 16:17:17 WARNING:   user xxx logged in
03/16/2024, 16:17:17 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:18 WARNING:   Got signal to peek load
03/16/2024, 16:17:19 WARNING:   Function called twice with mno bit
03/16/2024, 16:17:19 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:20 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:17:20 WARNING:   user xxx logged in
03/16/2024, 16:17:21 DEBUG:   user xxx logged in
03/16/2024, 16:17:22 DEBUG:   Device working in turbo mode
03/16/2024, 16:17:23 INFO:   Function called twice with mno bit
03/16/2024, 16:17:23 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:23 INFO:   Got signal to peek load
03/16/2024, 16:17:24 INFO:   Device working in turbo mode
03/16/2024, 16:17:25 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:26 INFO:   Function called twice with mno bit
03/16/2024, 16:17:27 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:28 WARNING:   user xxx logged in
03/16/2024, 16:17:28 WARNING:   user xxx logged in
03/16/2024, 16:17:29 WARNING:   Function called twice with mno bit
03/16/2024, 16:17:29 WARNING:   Got signal to peek load
03/16/2024, 16:17:30 WARNING:   Device working in turbo mode
03/16/2024, 16:17:30 WARNING:   Device working in turbo mode
03/16/2024, 16:17:30 WARNING:   Device working in turbo mode
03/16/2024, 16:17:31 WARNING:   Device working in turbo mode
03/16/2024, 16:17:31 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:32 DEBUG:   user xxx logged in
03/16/2024, 16:17:32 DEBUG:   Device working in turbo mode
03/16/2024, 16:17:32 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:32 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:33 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:34 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:34 INFO:   user xxx logged in
03/16/2024, 16:17:35 INFO:   Device working in turbo mode
03/16/2024, 16:17:35 INFO:   Got signal to peek load
03/16/2024, 16:17:36 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:36 INFO:   user xxx logged in
03/16/2024, 16:17:36 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:37 INFO:   Got signal to peek load
03/16/2024, 16:17:38 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:17:39 INFO:   user xxx logged in
03/16/2024, 16:17:39 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:39 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:40 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:40 DEBUG:   Got signal to peek load
03/16/2024, 16:17:41 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:42 WARNING:   Device working in turbo mode
03/16/2024, 16:17:43 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:44 WARNING:   Got signal to peek load
03/16/2024, 16:17:44 WARNING:   user xxx logged in
03/16/2024, 16:17:44 WARNING:   Got signal to peek load
03/16/2024, 16:17:45 WARNING:   Got signal to peek load
03/16/2024, 16:17:46 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:17:47 WARNING:   Got signal to peek load
03/16/2024, 16:17:48 WARNING:   Got signal to peek load
03/16/2024, 16:17:49 WARNING:   Got signal to peek load
03/16/2024, 16:17:50 INFO:   Device working in turbo mode
03/16/2024, 16:17:51 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:52 INFO:   Function called twice with mno bit
03/16/2024, 16:17:52 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:52 INFO:   user xxx logged in
03/16/2024, 16:17:52 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:52 INFO:   user xxx logged in
03/16/2024, 16:17:53 INFO:   Function called twice with mno bit
03/16/2024, 16:17:54 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:54 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:54 DEBUG:   user xxx logged in
03/16/2024, 16:17:55 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:17:55 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:56 DEBUG:   Function called twice with mno bit
03/16/2024, 16:17:56 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:58 WARNING:   user xxx logged in
03/16/2024, 16:17:58 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:17:59 WARNING:   user xxx logged in
03/16/2024, 16:18:00 WARNING:   Got signal to peek load
03/16/2024, 16:18:00 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:01 WARNING:   user xxx logged in
03/16/2024, 16:18:02 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:03 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:03 WARNING:   Got signal to peek load
03/16/2024, 16:18:03 WARNING:   Function called twice with mno bit
03/16/2024, 16:18:04 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:05 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:05 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:06 INFO:   Function called twice with mno bit
03/16/2024, 16:18:07 INFO:   user xxx logged in
03/16/2024, 16:18:08 INFO:   Function called twice with mno bit
03/16/2024, 16:18:08 INFO:   user xxx logged in
03/16/2024, 16:18:09 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:10 WARNING:   Device working in turbo mode
03/16/2024, 16:18:11 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:11 WARNING:   Device working in turbo mode
03/16/2024, 16:18:12 ERROR:   kernel fault detected in core
03/16/2024, 16:18:13 ERROR:   kernel fault detected in core
03/16/2024, 16:18:13 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:18:14 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:18:14 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:18:15 INFO:   user xxx logged in
03/16/2024, 16:18:15 INFO:   user xxx logged in
03/16/2024, 16:18:15 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:18:15 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:18:16 INFO:   Device working in turbo mode
03/16/2024, 16:18:17 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:18 WARNING:   Function called twice with mno bit
03/16/2024, 16:18:19 WARNING:   Function called twice with mno bit
03/16/2024, 16:18:19 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:19 WARNING:   Function called twice with mno bit
03/16/2024, 16:18:19 WARNING:   user xxx logged in
03/16/2024, 16:18:20 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:18:21 INFO:   Device working in turbo mode
03/16/2024, 16:18:22 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:23 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:24 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:24 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:25 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:25 DEBUG:   Got signal to peek load
03/16/2024, 16:18:26 DEBUG:   Got signal to peek load
03/16/2024, 16:18:27 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:28 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:28 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:29 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:29 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:30 DEBUG:   Got signal to peek load
03/16/2024, 16:18:30 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:31 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:31 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:32 DEBUG:   Got signal to peek load
03/16/2024, 16:18:32 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:34 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:35 DEBUG:   user xxx logged in
03/16/2024, 16:18:35 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:36 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:36 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:36 DEBUG:   user xxx logged in
03/16/2024, 16:18:36 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:37 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:38 DEBUG:   Got signal to peek load
03/16/2024, 16:18:39 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:40 WARNING:   user xxx logged in
03/16/2024, 16:18:40 WARNING:   Device working in turbo mode
03/16/2024, 16:18:41 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:18:42 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:42 WARNING:   Got signal to peek load
03/16/2024, 16:18:43 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:44 DEBUG:   Device working in turbo mode
03/16/2024, 16:18:44 DEBUG:   Got signal to peek load
03/16/2024, 16:18:44 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:45 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:45 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:46 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:46 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:46 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:18:47 DEBUG:   Got signal to peek load
03/16/2024, 16:18:47 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:48 DEBUG:   Function called twice with mno bit
03/16/2024, 16:18:49 INFO:   Got signal to peek load
03/16/2024, 16:18:50 INFO:   Device working in turbo mode
03/16/2024, 16:18:50 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:50 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:51 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:18:52 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:18:52 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:18:52 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:18:53 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:18:53 WARNING:   Function called twice with mno bit
03/16/2024, 16:18:54 WARNING:   user xxx logged in
03/16/2024, 16:18:54 WARNING:   user xxx logged in
03/16/2024, 16:18:55 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:18:56 INFO:   Got signal to peek load
03/16/2024, 16:18:56 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:18:57 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:18:58 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:18:59 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:18:59 FATAL:   kernel fault detected in core
03/16/2024, 16:19:00 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:19:00 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:19:00 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:19:01 INFO:   Device working in turbo mode
03/16/2024, 16:19:02 INFO:   user xxx logged in
